material_id,material_name,material_type,uom,is_active,source_file,ingestion_timestamp,job_id,job_run_id,create_date
MAT001,Steel Rod,RAW_MATERIAL,KG,Y,material_master_20260118.csv,2026-01-18 09:15:32,,,
MAT002,Aluminium Sheet,RAW_MATERIAL,KG,Y,material_master_20260118.csv,2026-01-18 09:15:32,,,
MAT003,Copper Wire,RAW_MATERIAL,METER,Y,material_master_20260118.csv,2026-01-18 09:15:32,,,
MAT004,Cardboard Box Small,BOX_BOARD,PCS,Y,material_master_20260118.csv,2026-01-18 09:15:32,,,
MAT005,Cardboard Box Large,BOX_BOARD,PCS,Y,material_master_20260118.csv,2026-01-18 09:15:32,,,
MAT006,Plastic Wrap,RAW_MATERIAL,ROLL,Y,material_master_20260118.csv,2026-01-18 09:15:32,,,
MAT007,Wooden Pallet,BOX_BOARD,PCS,N,material_master_20260118.csv,2026-01-18 09:15:32,,,
MAT008,Glass Panel,RAW_MATERIAL,PCS,Y,material_master_20260118.csv,2026-01-18 09:15:32,,,
MAT009,Iron Nail,RAW_MATERIAL,KG,Y,material_master_20260118.csv,2026-01-18 09:15:32,,,
MAT010,Foam Packaging Sheet,BOX_BOARD,SQM,Y,material_master_20260118.csv,2026-01-18 09:15:32,,,
