order_id,customer_id,order_date,delivery_date,cake_type,quantity,order_amount
O001,C001,2025-01-05,2025-01-06,Chocolate,1,1200
O002,C002,2025-01-06,2025-01-07,Vanilla,2,1800
O003,C003,2025-01-07,2025-01-08,Black Forest,1,1500
O004,C004,2025-01-08,2025-01-09,Red Velvet,1,1700
O005,C005,2025-01-09,2025-01-10,Chocolate,3,3600
O006,C006,2025-01-10,2025-01-11,Vanilla,1,900
O007,C007,2025-01-11,2025-01-12,Butterscotch,2,2000
O008,C008,2025-01-12,2025-01-13,Chocolate,1,1200
O009,C009,2025-01-13,2025-01-14,Black Forest,2,3000
O010,C010,2025-01-14,2025-01-15,Red Velvet,1,1700
